unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
0,W06-1104,a holistic lexiconbased approach to opinion mining,,using information content to evaluate semantic similarity,Philip Resnik,"#AUTHOR_TAG reported a correlation of r = .9026.10 The results are not directly comparable , because he only used noun-noun pairs , words instead of concepts , a much smaller dataset , and measured semantic similarity instead of semantic relatedness .",4
1,P13-3018,a holistic lexiconbased approach to opinion mining,,lexical representation of derivational relation,D Bradley,"Similar observation for surface word frequency was also observed by ( Bertram et al. , 2000 ; #AUTHOR_TAG ; Burani et al. , 1987 ; Burani et al. , 1984 ; Schreuder et al. , 1997 ; Taft 1975 ; Taft , 2004 ) where it has been claimed that words having low surface frequency tends to decompose .",0
2,J10-3007,a holistic lexiconbased approach to opinion mining,,inducing multilingual pos taggers and np bracketers via robust projection across aligned corpora,David Yarowsky,"But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( #AUTHOR_TAG ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( Bannard and Callison-Burch 2005 ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .",3
3,W06-1639,a holistic lexiconbased approach to opinion mining,,seeing stars when there aren’t many stars graphbased semisupervised learning for sentiment categorization,A B Goldberg,"Previous sentiment-analysis work in different domains has considered inter-document similarity ( Agarwal and Bhattacharyya , 2005 ; Pang and Lee , 2005 ; #AUTHOR_TAG ) or explicit",0
4,J92-1004,a holistic lexiconbased approach to opinion mining,,development and preliminary evaluation of the mit atis systemquot,S Seneff,"However , the method we are currently using in the ATIS domain ( #AUTHOR_TAG ) represents our most promising approach to this problem .",2
5,W06-2807,a holistic lexiconbased approach to opinion mining,,genre under construction the diary on the internet,Laurie McNeill,"Henceforth the collaborative traits of blogs and wikis ( #AUTHOR_TAG ) emphasize annotation , comment , and strong editing .",0
6,N01-1006,a holistic lexiconbased approach to opinion mining,,independence and commitment assumptions for rapid training and execution of rulebased pos taggers,M Hepple,The ICA system ( #AUTHOR_TAG ) aims to reduce the training time by introducing independence assumptions on the training samples that dramatically reduce the training time with the possible downside of sacrificing performance .,0
7,W00-1017,a holistic lexiconbased approach to opinion mining,,europa a generic framework for developing spoken dialogue systems,Munehiko Sasajima,"To this end , several toolkits for building spoken dialogue systems have been developed ( Barnett and Singh , 1997 ; #AUTHOR_TAG ) .",0
8,W01-0706,a holistic lexiconbased approach to opinion mining,,cascaded grammatical relation assignment,S Buchholz,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; #AUTHOR_TAG ; Tjong Kim Sang and Buchholz , 2000 ) .",0
9,W06-1639,a holistic lexiconbased approach to opinion mining,,directionbased text interpretation as an information access refinement,M Hearst,"Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis , an extremely active research area devoted to the computational treatment of subjective or opinion-oriented language ( early work includes Wiebe and Rapaport ( 1988 ) , #AUTHOR_TAG , Sack ( 1994 ) , and Wiebe ( 1994 ) ; see Esuli ( 2006 ) for an active bibliography ) .",0
